full_name,net,ORAPM,DRAPM,oTS,oTOV,oSC,dTS,dTOV,dSC,RESID,PVAL,ci95,weff
Joseph Tugler,-0.7999682594402965,-1.3290327144650762,0.5290644550247797,-1.8188110899850547,0.1363346483173658,0.35344372720261286,0.16851852492027064,0.4395263623811352,-0.07898043227662614,0.0,0.8503243056244878,3.8017900481688267,4470.781423737621
Zuby Ejiofor,-0.8166724268383373,-1.5217335180708376,0.7050610912325003,-1.9454820646754414,0.022135551978356566,0.40161299462624733,0.5861417683848337,0.23128463241196798,-0.11236530956430131,0.0,0.5426678694522705,3.75200122766724,6126.305762310329
Yaxel Lendeborg,-0.8508707856385007,-1.2132611862477019,0.36239040060920114,-1.7426867449937364,0.1985521864067481,0.3308733723392865,0.4696426665239598,-0.006301025535445509,-0.10095124037931316,0.0,0.4221732928312759,3.727587905614112,7492.306429773678
Motiejus Krivas,-0.9600037547814227,-1.8811871546968195,0.9211833999153968,-1.8873104819634114,-0.05364555141376333,0.0597688786803553,0.9612657262133969,0.04323572109727107,-0.08331804739527116,0.0,-0.033958999031408116,3.828993385352681,3891.3100853980254
Flory Bidunga,-0.9670919437846348,-1.6306258568760144,0.6635339130913795,-1.8025323800954056,-0.0771951605352273,0.24910168375461839,0.8055585311126024,-0.050961627807784016,-0.09106299021343893,0.0,0.02988190519816815,3.8093347108434665,4281.764746920522
Zakai Zeigler,-1.139876518554589,-1.6615876393493636,0.5217111207947747,-1.7449440626961639,0.1364736207738938,-0.05311719742709364,0.37881377814081807,0.23471353407124376,-0.09181619141728714,0.0,0.22625376600075675,3.7937957168512932,4668.62249515468
Javohn Garcia,-1.304943370293184,-1.5760870276089487,0.2711436573157646,-1.870499593238899,0.08708534341569213,0.20732722221425803,0.006870491431879455,0.34971573543673384,-0.08544256955284865,0.0,0.5586857315138354,3.7682246229360246,5446.394828737311
Alex Karaban,-1.3169941663218838,-1.6660321891974323,0.3490380228755486,-1.7281287466154451,-0.013217103200078933,0.07531366061809164,0.4324053612275499,0.006929757273123921,-0.09029709562512526,0.0,-0.02127078093398864,3.7164590673163325,8314.660660717112
Jamal Shead,-1.340348831612531,-1.782945291234927,0.4425964596223961,-1.7685191685352886,0.08556717087856935,-0.09999329357820785,0.20549773431038565,0.32371426007863646,-0.08661553476662603,0.0,0.22267260261237193,3.9147139694608133,2747.3048913922667
Morez Johnson Jr.,-1.3528473432512973,-2.004599952945997,0.6517526096946997,-1.8539619090582826,-0.05961624181029167,-0.09102180207742261,0.7860091298016213,-0.03731387397030219,-0.09694264613661945,0.0,-0.2848945639946359,3.814186961956108,4174.410372019512
Cameron Boozer,-1.3856209186277721,-1.5061485522798619,0.12052763365208968,-1.544057615006498,0.013160665187052945,0.024748397539583245,0.1593487772339388,0.021903474794362734,-0.06072461837621185,0.0,-0.0009120808552129239,3.834362350349923,3782.5737696409287
Keaton Wagler,-1.3865610639575383,-1.2137496148491091,-0.17281144910842922,-1.6681613078423698,0.14178377582740526,0.3126279171658555,0.10192025314481767,-0.1823626057900936,-0.09236909646315328,0.0,0.17967999074001384,3.846348584453592,3596.655337278514
Ja'Kobi Gillespie,-1.398045463317912,-1.2361713350202062,-0.16187412829770595,-1.4111198742350104,0.20993826036873314,-0.0349897211539289,-0.23805916524910176,0.15719575408673508,-0.08101071713533928,0.0,0.2511335761662,3.7264388354541205,7545.309678799897
