full_name,net,ORAPM,DRAPM,oTS,oTOV,oSC,dTS,dTOV,dSC,RESID,PVAL,ci95,weff,nba_player_id,id_ambiguous,war,war_rate82,dollar_value
Nikola Jokic,7.677913367188797,6.580948032398752,1.061669775938563,6.501976224220904,-0.1043517325667593,0.18332354074460783,-0.7665120807774537,-0.18030603087391403,2.0084878875899306,0.035295558851482056,1.9071536648938652,2.6290029602839198,30544.592822094775,,True,,,
Victor Wembanyama,7.647193372222636,1.8042580632762557,5.355695319467417,1.9111291503655865,-0.2939326174314661,0.18706153034213532,4.718003920133702,-0.22172356742882604,0.8594149667625417,0.4872399894789634,0.5308203122443849,3.5197825310572526,17040.604362762482,,True,,,
Shai Gilgeous-Alexander,6.831959972407199,5.191930818261759,1.4711093681663154,3.792898545934583,1.8850265150163008,-0.4859942426891248,1.310377863685046,0.6685401586957503,-0.5078086542144811,0.16891978597912427,1.5597637768084454,2.6595902094024746,29845.794990271985,1628983,False,11.981,14.663,35943073.0
Kawhi Leonard,6.51872650638413,4.669804047021542,1.7327786290970555,3.2996846213146123,1.3723627612620846,-0.002243335555154184,0.8507237607463184,0.5220373129830232,0.36001755536771374,0.11614383026553199,2.2521742940576672,3.3520549400249107,18788.426300490486,202695,False,9.85,12.426,29548752.0
Giannis Antetokounmpo,6.133045177312857,3.805990465987913,2.12637974364063,3.4313554971644944,0.5513133997985836,-0.1766784309751649,1.747327528067343,-0.776130650500892,1.155182866074179,0.20067496768431425,0.7536871843967057,3.1611902257728297,21125.85674232697,,True,,,
Chet Holmgren,5.418080213844538,2.052637547979971,3.2016706550595124,1.8689167437263654,-0.01955342420413196,0.20327422845773774,3.5389535497726032,-0.4729207856041031,0.1356378908910127,0.16377201080505444,-0.15356209045948466,3.4168041714519846,18083.091432285004,1631096,False,7.609,9.176,22827211.0
Alex Caruso,5.089960001030909,0.47122650989764,4.129768278671004,0.20523140008832924,0.358017474791426,-0.0920223649821153,1.508053097394905,2.2379172459836885,0.3837979352924102,0.488965212462265,2.8877102910854093,3.56295106551301,16630.041252326704,1627936,False,2.362,3.522,7087027.0
Rudy Gobert,4.615778102713737,-0.9910545642703397,5.144037898360317,-1.174429624107863,-0.8847312390419112,1.0681062988794345,4.74109855148709,-0.08837482909161734,0.4913141759648442,0.4627947686237599,0.5863144067107502,2.7286611302014196,28353.96911947035,,True,,,
Dylan Harper,4.534935732782867,1.7371207794696355,2.2757563464286967,0.551415975549016,0.6302619539983687,0.5554428499222509,1.112297253585244,-0.013039474706439283,1.1764985675498922,0.522058606884535,2.3491638967640727,5.128567683506532,8026.39440818447,1642844,False,4.569,5.43,13707825.0
Derrick White,4.488852499321145,1.1710078200712117,3.072930874255588,0.6573950148537331,1.0506433025505015,-0.5370304973330228,2.899600337051863,0.10048775896440278,0.07284277823932242,0.24491380499434534,0.6869433424212039,2.6953520360999996,29059.06797008079,1628401,False,7.801,8.307,23402075.0
